Customer_id,Registration_date,Customer_name,Email,Phone,Total_orders,Avg_order_value,Customer_segment
31813,10/04/2024,Indrajit Paux,wakeetasehgal@example.com,+911785834174,18,1230.75,Regular
31826,29/11/2023,Ekiya Pau,fbedi@example.com,+919364120886,18,752.78,New
61020,27/07/2024,Onkar Suresh,rudradeshpande@example.com,+918421031341,19,1703.16,New
75482,19/09/2024,Jeet Gandhi,amrita05@example.net,+916683687947,13,1938.38,Regular
119099,01/08/2023,Zansi Parsa,neha08@example.com,+912032907631,20,637.35,Inactive
188838,16/07/2024,Idika Basu,deepakhanna@example.com,+914955579642,12,799.11,Inactive
191616,27/04/2023,Brijesh Tata,yadavipatla@example.org,+918144382068,4,1053.7,Regular
211163,10/06/2024,Hiral Baral,bhavsaryagnesh@example.com,+911312775966,9,1169.11,Regular
243838,16/05/2024,Sudiksha Nagar,chandanikrish@example.net,+913688907644,11,1158.27,New
376144,19/12/2023,Ira Chhabra,caleb02@example.com,+914254514422,13,1784.32,Regular
408590,11/03/2024,Januja Zachariah,nakshsahni@example.net,+916303259192,17,436.74,Regular
469006,21/08/2023,Shivansh Loyal,darikaperi@example.net,+910131483498,2,1393.2,Inactive
625395,27/03/2024,Leena Loyal,devanshwalia@example.org,+910364415832,4,1794.26,Premium
644189,15/12/2023,Tanay Sahni,janya99@example.org,+913485618787,2,793.86,Premium
666589,31/07/2023,Kevin Bassi,jainchandani@example.net,+912286568717,15,465.38,Regular
701493,11/02/2024,Ekaraj Saini,arya43@example.net,+918673348146,2,290.07,Inactive
767523,27/05/2023,Maya Khosla,khannaijaya@example.org,+918702216695,13,1737.28,Inactive
773410,25/06/2023,Ladli Saha,gautami44@example.net,+913650109706,13,1694.79,New
820740,15/11/2023,Mekhala Sathe,naveennatt@example.com,+914144553554,1,1385.46,Premium
894128,20/07/2023,Chatura Agarwal,harishom@example.net,+919523503339,5,1323.32,Inactive
899941,25/06/2024,Lopa Venkataraman,gavinchoudhary@example.org,+919236408026,18,1202.35,Premium
949062,13/10/2023,Jackson Karpe,sembhavika@example.net,+910274625288,19,1947.14,Inactive
954629,26/02/2024,Fiyaz Mand,naggarwal@example.com,+915395090719,14,1390.08,New
966247,16/11/2023,Jeevika Deo,sbalasubramanian@example.net,+914778660685,13,1110.76,Inactive
1060685,07/03/2024,Yadavi Rajagopalan,dipta24@example.net,+912609155283,4,999.24,Inactive
1108176,27/07/2023,Charita Chad,ekantika51@example.com,+919496285339,20,1460.76,Premium
1134585,06/02/2024,Bhavani Rau,uppalvrishti@example.com,+913705629591,8,1975.21,Regular
1152215,27/05/2024,Yachana Pathak,chakradevnigam@example.org,+912968749008,2,1637.43,Inactive
1174162,02/07/2023,Anirudh Vig,hema05@example.com,+913087052860,12,1255.44,Premium
1200365,21/06/2023,Avni Mistry,rkurian@example.net,+916473105621,1,1170.74,Regular
1301661,26/12/2023,Yashvi Parekh,rmanne@example.net,+913098824463,8,623.8,Inactive
1313292,04/03/2024,Robert Kaur,mohinisarna@example.net,+918400584200,20,1275.41,Inactive
1342184,25/10/2024,Girish Sem,krao@example.com,+919414776168,20,1893.83,Inactive
1449273,06/12/2023,Forum Deol,pgarg@example.org,+918190110689,12,1758.24,New
1469696,24/06/2023,Gaurangi Banerjee,raghavanjagrati@example.com,+911996578832,6,1784.79,Premium
1479065,09/02/2024,Keya Grover,vbalakrishnan@example.org,+912569948550,17,1597.83,New
1491857,05/06/2024,Naveen Balakrishnan,xuppal@example.net,+913875475048,9,855.24,Premium
1497747,11/04/2024,Nachiket Kalla,solankibarkha@example.org,+917538099191,7,1241.73,Inactive
1507408,21/03/2024,Kai Gara,dbera@example.net,+916643268606,8,972.22,Inactive
1529180,07/06/2024,Darsh Gokhale,randhawaaashi@example.com,+912845073428,5,596.54,Inactive
1562083,11/01/2024,Madhavi Mishra,inayabadal@example.net,+915460239789,13,695.02,Premium
1588560,01/12/2023,Jeremiah Nath,faqidswaminathan@example.org,+911110614819,10,945.18,New
1589656,26/05/2024,Xiti Prabhu,maharajmitesh@example.org,+918617173657,13,1548.76,Premium
1601161,24/05/2024,Chanchal Thakur,faras36@example.com,+911872985129,1,589.31,Inactive
1603358,09/06/2024,Samaksh Randhawa,ubumb@example.com,+915833938125,5,1155.87,Inactive
1624115,26/10/2023,Saksham Atwal,meghaatwal@example.org,+912435381855,2,331.1,New
1655637,17/09/2023,Turvi Radhakrishnan,mpandit@example.org,+919130065165,19,723.95,Regular
1662375,18/11/2023,Tanmayi Yohannan,indrajitdhillon@example.com,+914153204014,7,1350.81,New
1683786,12/09/2023,Urvashi Balan,simonkade@example.org,+916376148431,14,776.52,Regular
1697604,24/07/2023,Arjun Deep,vedant34@example.net,+915494808717,6,1970.15,Regular
1705969,23/05/2024,Qasim Kalla,ekannan@example.com,+915255620077,20,877,Premium
1719710,26/06/2023,Pushti Sabharwal,ramachandranharini@example.com,+913657008587,2,1332.82,New
1771249,14/04/2023,Samesh Devi,osant@example.org,+912871168311,4,790.78,New
1816969,05/03/2024,Tejas Pillai,xsarin@example.org,+918471946574,2,1902.69,Premium
1855421,30/06/2023,Jasmit Kibe,kabiranand@example.net,+913618465633,10,260.2,Inactive
1989720,10/11/2023,Anusha Bahri,hemanginigour@example.org,+917371380072,6,239.76,Inactive
2058037,17/11/2023,Yutika Badal,biswastamanna@example.org,+919780212360,11,1797.02,Inactive
2114782,29/05/2023,Brinda Jha,bhardwajwyatt@example.com,+917944628948,3,1354.66,Premium
2134827,22/10/2023,Vasudha Kalita,zaitra93@example.org,+911088999128,10,1710.75,New
2136830,19/09/2023,Bhavya Goswami,saxenamadhavi@example.net,+916953143954,4,485.78,New
2164524,16/04/2023,Kamala Natt,abha02@example.net,+914518913172,1,754.95,Inactive
2188994,26/10/2023,Bimala Mitra,uarora@example.net,+919473010631,6,484.51,Inactive
2219590,24/09/2024,Upadhriti Sandhu,comarmugdha@example.org,+911603666274,20,756.84,Regular
2233446,27/12/2023,Wakeeta Pillay,handayashvi@example.com,+918165594840,6,1466.45,New
2234490,07/08/2024,Amara Gala,gangasanghvi@example.com,+914512666716,8,1540.25,Premium
2361575,14/09/2023,Aarnav Seth,banditeerth@example.org,+914767930808,19,1993.09,New
2365348,23/09/2024,Zashil Varghese,rayaan71@example.net,+918719140213,11,1133.51,Regular
2391900,26/09/2024,Nisha Gokhale,priyasankaran@example.com,+917827056456,17,897.78,New
2400009,26/02/2024,Jonathan Korpal,liam03@example.org,+917087853375,7,1328.35,Premium
2414265,19/10/2023,Ayushman Bala,tkonda@example.net,+910873876162,6,571.92,New
2442235,17/05/2024,Pushti Bhattacharyya,qmaharaj@example.org,+910324285991,11,661.58,Premium
2457734,27/05/2023,Onkar Garg,warhi85@example.com,+914165510683,12,923.06,Premium
2517955,28/02/2024,Charan Sharma,rsagar@example.org,+919881295551,7,1625.44,Regular
2558646,01/11/2024,Vyanjana Dara,falakkunda@example.net,+916023311219,10,920.89,Premium
2566268,04/12/2023,Arjun Ratta,santutkarsh@example.net,+917102183787,16,1796.96,Premium
2584499,13/09/2024,Shivansh Tata,diya19@example.com,+914402458047,2,1686.86,Regular
2667357,13/06/2024,Nathan Kaul,godavarenya@example.com,+910778074188,6,1516.67,Premium
2684440,05/09/2023,Hamsini De,yashodharaanne@example.org,+910537727849,5,650.6,Premium
2848415,13/07/2024,Anika Raja,ukamdar@example.org,+914449473640,9,1798.13,Inactive
2875442,19/07/2023,Arunima Vyas,buchayushman@example.net,+915969178797,19,1858.8,Premium
2903620,11/05/2024,Bahadurjit Rama,faraj37@example.com,+910991674238,11,1815.06,New
2928026,20/03/2024,Vrishti Basak,gautamisrinivasan@example.com,+915081846964,9,280.45,New
3002538,10/07/2024,Sanya Sule,watikasachar@example.net,+911024214855,14,489.91,Inactive
3096845,22/10/2023,Yashvi Chander,saksham67@example.com,+914918237687,20,336.81,New
3100301,19/06/2023,Wazir Saini,ishani86@example.com,+915270787774,1,1530.27,New
3282647,15/01/2024,Warda Pal,csinha@example.net,+911556032698,18,608.27,Premium
3292927,12/01/2024,Nisha Iyer,vdalia@example.org,+910256207668,6,1795.72,New
3399251,03/05/2023,Ekalinga Bhatt,karinakul@example.org,+911258273127,20,937.11,New
3408982,01/07/2023,Tripti Chakraborty,abhiramkunda@example.org,+910686600788,5,656.97,Premium
3410758,16/07/2023,Qabil Salvi,gandhibhavya@example.net,+918055425835,1,1892.51,Regular
3421258,19/06/2024,Ishita Chaudhuri,tara78@example.com,+915568926763,19,806.62,Premium
3468355,02/06/2024,Chameli Subramanian,lekhanarula@example.org,+918771303133,12,1734.51,New
3483295,08/03/2024,Maya Nath,nmadan@example.org,+910519561559,5,1334.49,Inactive
3491230,01/06/2023,Ucchal Chana,bariabina@example.org,+914634268253,14,226.62,New
3588443,11/04/2024,Yashica Pingle,nakul94@example.org,+918446914302,20,1727.18,Premium
3638834,08/07/2023,Falan Nayak,garaveer@example.com,+915780823790,16,1142.06,Premium
3660263,27/05/2023,Jagdish Bains,qsrinivas@example.org,+913911005064,10,1573.91,Regular
3730316,20/03/2023,Ishanvi Shankar,daksha35@example.org,+912906397510,10,215.72,Regular
3786105,02/06/2024,Ojas Sankaran,jyoti35@example.net,+918374055039,13,1172.32,New
3844290,29/10/2023,Yashawini Thaman,kohliwyatt@example.com,+915485602730,2,301.73,Inactive
3872421,06/07/2023,Ladli Saran,virkfalak@example.com,+919969818495,3,1468.98,Premium
3875480,26/05/2024,Harshil Mital,qnarula@example.com,+918582878676,8,1863.49,Inactive
3893903,23/03/2023,Bimala Sura,aradhanaganesh@example.net,+919430583987,20,1922.71,New
3897936,26/09/2023,Maanav Singh,unnikarpe@example.com,+911787157542,14,215.16,Premium
3999964,08/08/2023,Ansh Minhas,nbir@example.net,+911642384127,15,1147.01,Premium
4055790,14/11/2023,Noah Malhotra,dkannan@example.net,+915394267346,13,1178.81,Regular
4057678,27/05/2023,Brijesh Khalsa,rrai@example.org,+919640449299,19,882.63,Inactive
4192351,20/01/2024,Leela Date,vbalasubramanian@example.net,+915977123356,17,625.36,Inactive
4200802,15/11/2023,Chakrika Gaba,ekavir26@example.net,+916706188692,10,678.96,Inactive
4356173,10/09/2024,Jalsa Khatri,mahajanbakhshi@example.org,+911963988928,9,1838.56,New
4378755,10/11/2023,Oscar Ratta,wguha@example.com,+916824800377,2,1144.9,Premium
4386273,26/06/2024,Jagrati Sengupta,pandeymahika@example.org,+911622184828,12,298.97,Inactive
4394659,25/08/2023,Xalak Goel,thakurmitali@example.org,+915366984594,7,291.77,New
4438410,17/10/2024,Siya Mittal,kdara@example.net,+918260180919,11,1868.71,Inactive
4439806,19/04/2024,Balendra Sethi,johalmadhavi@example.net,+912826946272,7,790.59,New
4444673,24/06/2023,Chatresh Patla,owenkhatri@example.net,+915269995631,15,584.69,New
4458329,01/07/2024,Nimrat Sandal,manyachatterjee@example.net,+914812159247,10,1617,Inactive
4543215,21/10/2023,Farhan Soni,binakala@example.com,+910054329885,6,526.7,Premium
4545935,06/08/2024,Aayush Ahluwalia,jagdish37@example.org,+910925597899,7,1931.1,Regular
4594944,26/03/2024,Hardik Mane,abduldara@example.org,+914830114630,12,857.13,Inactive
4597433,02/04/2024,Lipika Kumer,faras46@example.org,+917227252187,3,821.84,Inactive
4606533,30/07/2024,Anusha Bhagat,triya55@example.org,+917200860742,11,704.14,Premium
4618801,16/11/2023,David Saran,dalbir79@example.org,+915688841303,11,201.56,Premium
4758426,06/01/2024,Qushi Dash,contractorurishilla@example.org,+916166771196,14,448.81,New
4789829,02/11/2024,Balvan Shah,fbala@example.net,+911177117983,6,229.76,Regular
4849477,22/07/2023,Caleb Ram,leenamahal@example.com,+911527293843,19,1782.35,Premium
4862761,31/08/2023,Maya Chatterjee,quincyacharya@example.net,+917319006066,20,477.19,Premium
